pos,excel_header,column_name,postgres_type,is_subtotal
106,*Other CGS,tot_other_cgs,"numeric(18,2)",Y
107,SC.Other,sc_other,"numeric(18,2)",
108,SC.SVC Warranty,sc_svc_warranty,"numeric(18,2)",
109,SC.SVC Agent Fee,sc_svc_agent_fee,"numeric(18,2)",
110,*Return CGS,tot_return_cgs,"numeric(18,2)",Y
111,SC.Return CGS,sc_return_cgs,"numeric(18,2)",
112,*Other Expense,tot_other_expense,"numeric(18,2)",Y
113,*Other Exp.,tot_other_exp_detail,"numeric(18,2)",Y
114,SC.LCM,sc_lcm,"numeric(18,2)",
115,SC.E&O,sc_e_and_o,"numeric(18,2)",
116,SC.Ramp-up Cost,sc_ramp_up_cost,"numeric(18,2)",
117,SC.INV Loss(Q),sc_inv_loss_q,"numeric(18,2)",
118,SC.INV Loss(P),sc_inv_loss_p,"numeric(18,2)",
119,SC.Subcontractor-Adj,sc_subcontractor_adj,"numeric(18,2)",
120,SC.Customs Refund,sc_customs_refund,"numeric(18,2)",
121,SC.Matl Price Settle,sc_matl_price_settle,"numeric(18,2)",
122,SC.VAT (China),sc_vat_china,"numeric(18,2)",
123,SC.CGS Others,sc_cgs_others,"numeric(18,2)",
124,*Logistic Cost(C Type),tot_logistic_cost_c_type,"numeric(18,2)",Y
125,SC.Transport-Inland,sc_transport_inland,"numeric(18,2)",
126,SC.Transport-Marine,sc_transport_marine,"numeric(18,2)",
127,SC.Transport-Air,sc_transport_air,"numeric(18,2)",
128,SC.Transport-Other,sc_transport_other,"numeric(18,2)",
129,SC.Insurance (Logis),sc_insurance_logis,"numeric(18,2)",
130,*Internal CGS,tot_internal_cgs,"numeric(18,2)",Y
131,SC.Internal CGS,sc_internal_cgs,"numeric(18,2)",
132,*Ref. CoGS,tot_ref_cogs,"numeric(18,2)",Y
133,SC.Stat.Customs Fee,sc_stat_customs_fee,"numeric(18,2)",
134,SC.Stat Incidental,sc_stat_incidental,"numeric(18,2)",
135,SC.Stat.Sub-Line Exp,sc_stat_sub_line_exp,"numeric(18,2)",
136,*Gross Margin,tot_gross_margin,"numeric(18,2)",Y
137,*Operating Expense,tot_operating_expense,"numeric(18,2)",Y
138,*Sales Expense,tot_sales_expense,"numeric(18,2)",Y
139,*Labor Cost(S),tot_labor_cost_s,"numeric(18,2)",Y
140,SA.Labor Cost,sa_labor_cost,"numeric(18,2)",
141,SA.Labor-Salaries,sa_labor_salaries,"numeric(18,2)",
142,*SVC Expense,tot_svc_expense,"numeric(18,2)",Y
143,SA.SVC Warranty,sa_svc_warranty,"numeric(18,2)",
144,SA.SVC Qual Support,sa_svc_qual_support,"numeric(18,2)",
145,SA.SVC Agency Fee,sa_svc_agency_fee,"numeric(18,2)",
146,SA.SVC Call Center,sa_svc_call_center,"numeric(18,2)",
147,SA.SVC Claim,sa_svc_claim,"numeric(18,2)",
148,SA.SVC Freight,sa_svc_freight,"numeric(18,2)",
149,SA.SVC Circulation,sa_svc_circulation,"numeric(18,2)",
150,SA.SVC Op Support,sa_svc_op_support,"numeric(18,2)",
151,SA.SVC Other Exp,sa_svc_other_exp,"numeric(18,2)",
152,*Logistics Cost,tot_logistics_cost,"numeric(18,2)",Y
153,SA.Transport-Inland,sa_transport_inland,"numeric(18,2)",
154,SA.Transport-Marine,sa_transport_marine,"numeric(18,2)",
155,SA.Transport-Air,sa_transport_air,"numeric(18,2)",
156,SA.Transport-Other,sa_transport_other,"numeric(18,2)",
157,SA.Warehouse Fee,sa_warehouse_fee,"numeric(18,2)",
158,SA.Insurance (Logis),sa_insurance_logis,"numeric(18,2)",
159,SA.Comm,sa_comm,"numeric(18,2)",
160,*Marketing Expense,tot_marketing_expense,"numeric(18,2)",Y
161,SA.Advertising,sa_advertising,"numeric(18,2)",
162,SA.CO-OP,sa_co_op,"numeric(18,2)",
163,SA.Promotion,sa_promotion,"numeric(18,2)",
164,SA.Market Research,sa_market_research,"numeric(18,2)",
165,SA.Sales Commission,sa_sales_commission,"numeric(18,2)",
166,SA.Comm&SvcChgC.Card,sa_comm_and_svcchgc_card,"numeric(18,2)",
167,SA.HQ Sales Comm,sa_hq_sales_comm,"numeric(18,2)",
168,SA.Corp. Promotion,sa_corp_promotion,"numeric(18,2)",
169,*Royalty,tot_royalty,"numeric(18,2)",Y
170,SA.Royalty-3rd Party,sa_royalty_3rd_party,"numeric(18,2)",
171,SA.Royalty-HQ,sa_royalty_hq,"numeric(18,2)",
172,SA.Royalty-Lump Sum,sa_royalty_lump_sum,"numeric(18,2)",
173,*Paid Commission,tot_paid_commission,"numeric(18,2)",Y
174,SA.Comm-Consult,sa_comm_consult,"numeric(18,2)",
175,SA.Comm-Litigation,sa_comm_litigation,"numeric(18,2)",
176,SA.Comm-Audit,sa_comm_audit,"numeric(18,2)",
177,SA.Comm-D/O,sa_comm_d_o,"numeric(18,2)",
178,SA.Paid Comm,sa_paid_comm,"numeric(18,2)",
179,*Other Expense(S),tot_other_expense_s,"numeric(18,2)",Y
180,SA.Depreciation,sa_depreciation,"numeric(18,2)",
181,SA.Insurance Premium,sa_insurance_premium,"numeric(18,2)",
182,SA.Sample,sa_sample,"numeric(18,2)",
183,SA.IT Exp,sa_it_exp,"numeric(18,2)",
184,SA.Lease&Rent,sa_lease_and_rent,"numeric(18,2)",
